epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8851,2.04678,1.71746,1.14762,0.65315,0.5029,0.57103,0.26477,1.92006,1.40743,1.06243,0.000660969,0.000660969,0.000660969
2,77.1885,1.87276,1.13334,1.06919,0.71848,0.62551,0.70749,0.32005,1.85607,1.14989,1.02666,0.00131668,0.00131668,0.00131668
3,118.997,1.83286,1.09378,1.05603,0.73358,0.65859,0.73405,0.33553,1.83483,1.07551,1.0323,0.0019614,0.0019614,0.0019614
4,160.661,1.81711,1.07104,1.04737,0.76791,0.68952,0.76681,0.35286,1.82927,1.02325,1.02683,0.0019505,0.0019505,0.0019505
5,202.546,1.7914,1.0462,1.04653,0.76698,0.67845,0.76456,0.35322,1.86201,1.01931,1.0244,0.001934,0.001934,0.001934
6,244.973,1.78176,1.01915,1.04069,0.75982,0.68564,0.77238,0.36078,1.79776,0.96667,1.01773,0.0019175,0.0019175,0.0019175
7,287,1.76883,1.00001,1.03658,0.80047,0.7083,0.79847,0.38751,1.73088,0.95499,1.00538,0.001901,0.001901,0.001901
8,329.357,1.75059,0.98648,1.03304,0.74059,0.65419,0.7363,0.34268,1.83133,0.96657,1.01704,0.0018845,0.0018845,0.0018845
9,371.479,1.75454,0.98457,1.03269,0.79799,0.73005,0.81034,0.39256,1.7171,0.91049,0.99599,0.001868,0.001868,0.001868
10,414.241,1.73802,0.96787,1.02951,0.77697,0.71151,0.79082,0.37468,1.77854,0.95638,1.01162,0.0018515,0.0018515,0.0018515
11,456.829,1.7281,0.95319,1.02679,0.77104,0.69797,0.78549,0.37466,1.78364,0.91992,1.00869,0.001835,0.001835,0.001835
12,499.275,1.73477,0.96353,1.02699,0.80512,0.72619,0.81065,0.39065,1.71599,0.92585,0.99601,0.0018185,0.0018185,0.0018185
13,541.549,1.72252,0.95087,1.03064,0.81983,0.73996,0.82856,0.40757,1.68867,0.85258,0.99029,0.001802,0.001802,0.001802
14,584.534,1.72025,0.93919,1.02161,0.81443,0.74366,0.83071,0.41096,1.69008,0.87469,0.98996,0.0017855,0.0017855,0.0017855
15,626.94,1.70698,0.93989,1.02519,0.81037,0.73071,0.8212,0.40787,1.68573,0.88734,0.98917,0.001769,0.001769,0.001769
16,669.527,1.7066,0.92634,1.01784,0.82057,0.725,0.82017,0.39601,1.71663,0.862,0.99697,0.0017525,0.0017525,0.0017525
17,712.37,1.70122,0.92093,1.01597,0.80673,0.71335,0.81199,0.38909,1.75886,0.88542,1.00038,0.001736,0.001736,0.001736
18,755.316,1.70269,0.92338,1.01887,0.80942,0.7346,0.82404,0.4,1.71053,0.86215,0.99194,0.0017195,0.0017195,0.0017195
19,798.111,1.69187,0.91428,1.01411,0.8343,0.73796,0.83096,0.41346,1.68971,0.84283,0.98879,0.001703,0.001703,0.001703
20,840.997,1.69667,0.90882,1.01722,0.81404,0.75072,0.82803,0.37946,1.80844,0.88267,1.00244,0.0016865,0.0016865,0.0016865
21,884.107,1.69297,0.91357,1.01602,0.81704,0.75346,0.83867,0.42355,1.6638,0.83722,0.98306,0.00167,0.00167,0.00167
22,927.01,1.68056,0.90451,1.01161,0.82214,0.73639,0.83071,0.40959,1.6904,0.84144,0.99277,0.0016535,0.0016535,0.0016535
23,968.959,1.69725,0.91409,1.01391,0.81548,0.7373,0.82314,0.41195,1.68517,0.86805,0.98985,0.001637,0.001637,0.001637
24,1011.02,1.6813,0.90152,1.01437,0.82771,0.7476,0.83995,0.42008,1.68065,0.82649,0.98785,0.0016205,0.0016205,0.0016205
25,1053.21,1.67259,0.90409,1.01253,0.82394,0.76333,0.84317,0.42523,1.66295,0.82902,0.98604,0.001604,0.001604,0.001604
26,1096.12,1.67977,0.89641,1.00695,0.83141,0.74949,0.83746,0.42156,1.65623,0.82612,0.98403,0.0015875,0.0015875,0.0015875
27,1138.41,1.6753,0.88567,1.0105,0.8151,0.74999,0.83473,0.41536,1.69319,0.83383,0.98841,0.001571,0.001571,0.001571
