epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3768,2.04678,1.71746,1.14762,0.65315,0.5029,0.57103,0.26477,1.92006,1.40743,1.06243,0.000660969,0.000660969,0.000660969
2,70.6161,1.87276,1.13334,1.06919,0.71848,0.62551,0.70749,0.32005,1.85607,1.14989,1.02666,0.00131668,0.00131668,0.00131668
3,110.415,1.83286,1.09378,1.05603,0.73358,0.65859,0.73405,0.33553,1.83483,1.07551,1.0323,0.0019614,0.0019614,0.0019614
4,150.928,1.81711,1.07104,1.04737,0.76791,0.68952,0.76681,0.35286,1.82927,1.02325,1.02683,0.0019505,0.0019505,0.0019505
5,191.041,1.7914,1.0462,1.04653,0.76698,0.67845,0.76456,0.35322,1.86201,1.01931,1.0244,0.001934,0.001934,0.001934
6,231.139,1.78176,1.01915,1.04069,0.75982,0.68564,0.77238,0.36078,1.79776,0.96667,1.01773,0.0019175,0.0019175,0.0019175
7,271.29,1.76883,1.00001,1.03658,0.80047,0.7083,0.79847,0.38751,1.73088,0.95499,1.00538,0.001901,0.001901,0.001901
8,311.757,1.75059,0.98648,1.03304,0.74059,0.65419,0.7363,0.34268,1.83133,0.96657,1.01704,0.0018845,0.0018845,0.0018845
9,352.029,1.75454,0.98457,1.03269,0.79799,0.73005,0.81034,0.39256,1.7171,0.91049,0.99599,0.001868,0.001868,0.001868
10,392.231,1.73802,0.96787,1.02951,0.77697,0.71151,0.79082,0.37468,1.77854,0.95638,1.01162,0.0018515,0.0018515,0.0018515
11,432.153,1.7281,0.95319,1.02679,0.77104,0.69797,0.78549,0.37466,1.78364,0.91992,1.00869,0.001835,0.001835,0.001835
