epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2977,2.50575,2.58064,1.5916,0.08582,0.13756,0.07735,0.03267,2.85537,3.43881,1.6819,0.000471709,0.000471709,0.000471709
2,66.3135,2.20109,1.68091,1.4036,0.20683,0.20648,0.16611,0.07253,2.86336,2.98726,1.7386,0.000938656,0.000938656,0.000938656
3,99.4765,2.14004,1.6072,1.38034,0.22466,0.24368,0.18195,0.07503,2.50905,3.1549,1.5922,0.00139617,0.00139617,0.00139617
4,134.107,2.11194,1.58463,1.3673,0.24203,0.23091,0.18954,0.0784,2.85229,3.62056,1.7606,0.00138656,0.00138656,0.00138656
5,168.997,2.07469,1.53804,1.35381,0.3106,0.32416,0.26641,0.10564,2.4161,2.49235,1.49491,0.00137241,0.00137241,0.00137241
6,203.906,2.06279,1.51161,1.34445,0.33509,0.29284,0.25698,0.11201,2.50299,2.46048,1.53519,0.00135826,0.00135826,0.00135826
7,238.893,2.0511,1.47233,1.34012,0.2979,0.34881,0.22295,0.08388,2.52504,2.62816,1.54259,0.00134412,0.00134412,0.00134412
8,273.841,2.01549,1.45123,1.33611,0.2867,0.24505,0.21915,0.07877,2.90788,2.95268,1.77688,0.00132997,0.00132997,0.00132997
9,308.884,2.03661,1.44146,1.33097,0.43744,0.36256,0.34495,0.14161,2.36383,2.03105,1.44164,0.00131582,0.00131582,0.00131582
10,343.833,2.00069,1.44688,1.32311,0.50172,0.46088,0.45336,0.167,2.21498,1.84425,1.4304,0.00130168,0.00130168,0.00130168
11,379.026,1.99621,1.42979,1.31208,0.27567,0.27488,0.22104,0.10411,2.56586,2.63982,1.58015,0.00128753,0.00128753,0.00128753
12,414.425,1.99075,1.39641,1.30378,0.38834,0.33081,0.31105,0.13122,2.44152,2.24312,1.47006,0.00127338,0.00127338,0.00127338
13,450.016,1.99532,1.40354,1.29425,0.3618,0.31073,0.2719,0.11618,2.59686,2.52799,1.53771,0.00125923,0.00125923,0.00125923
14,485.304,1.98181,1.40554,1.30026,0.32008,0.2938,0.2436,0.09422,2.71409,2.27167,1.60685,0.00124509,0.00124509,0.00124509
